"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.07.2021","248,98","249,48","249,93","246,94","385,26K","-0,27%"
"23.07.2021","249,65","246,68","250,50","245,95","468,79K","0,31%"
"22.07.2021","248,87","245,80","248,87","245,27","161,90K","1,02%"
"21.07.2021","246,35","247,29","248,87","245,01","243,93K","-0,02%"
"20.07.2021","246,39","244,59","246,39","244,07","295,07K","1,69%"
"19.07.2021","242,30","241,40","242,65","239,15","458,31K","0,37%"
"16.07.2021","241,40","242,30","243,28","239,82","214,71K","-0,37%"
"15.07.2021","242,30","240,75","242,70","240,32","165,88K","0,04%"
"14.07.2021","242,21","243,01","244,65","240,87","390,42K","-1,74%"
"13.07.2021","246,50","247,43","247,84","245,21","108,06K","-0,20%"
"12.07.2021","247,00","248,63","249,68","245,90","335,86K","0,00%"
"08.07.2021","247,00","247,05","247,75","244,90","325,55K","-0,78%"
"07.07.2021","248,95","245,78","249,56","245,36","553,35K","1,53%"
"06.07.2021","245,20","240,00","245,85","240,00","421,47K","2,51%"
"05.07.2021","239,20","239,08","240,20","238,50","165,66K","0,46%"
"02.07.2021","238,10","235,41","239,32","234,67","308,41K","0,80%"
"01.07.2021","236,20","232,50","236,90","231,41","468,98K","1,59%"
"30.06.2021","232,50","231,80","234,20","231,15","433,22K","1,22%"
"29.06.2021","229,70","229,76","231,85","229,27","248,49K","0,00%"
"28.06.2021","229,70","229,93","230,70","228,91","126,37K","0,48%"
"25.06.2021","228,60","227,42","230,99","227,26","337,76K","0,84%"
"24.06.2021","226,70","228,25","229,07","226,70","341,04K","-0,57%"
"23.06.2021","228,00","229,00","229,75","227,71","226,23K","-0,87%"
"22.06.2021","229,99","230,44","231,18","228,42","229,14K","-0,00%"
"21.06.2021","230,00","229,21","230,84","228,35","713,01K","0,26%"
"18.06.2021","229,40","228,50","230,79","226,23","307,77K","-0,35%"
"17.06.2021","230,20","231,80","231,88","228,70","191,99K","-1,12%"
"16.06.2021","232,80","232,90","232,90","229,64","237,88K","-0,04%"
"15.06.2021","232,90","234,90","235,27","232,12","156,79K","-0,85%"
"14.06.2021","234,90","235,50","235,50","232,50","216,42K","-1,05%"
"11.06.2021","237,40","234,72","237,40","234,25","355,54K","1,41%"
"10.06.2021","234,10","232,27","234,27","231,70","538,39K","0,91%"
"09.06.2021","232,00","231,81","233,75","231,12","286,72K","0,23%"
"08.06.2021","231,47","232,00","232,80","229,64","147,61K","0,00%"
"07.06.2021","231,46","232,27","232,83","230,01","336,30K","-0,11%"
"04.06.2021","231,71","232,26","233,40","231,20","265,99K","-0,51%"
"02.06.2021","232,90","235,97","236,45","231,04","527,61K","-0,68%"
"01.06.2021","234,50","238,70","238,70","234,50","581,65K","-1,47%"
"31.05.2021","238,00","239,00","240,88","237,51","111,65K","-0,38%"
"28.05.2021","238,90","240,02","240,09","238,19","240,50K","-0,71%"
"27.05.2021","240,60","241,50","241,99","239,07","243,78K","-0,37%"
"26.05.2021","241,50","242,43","243,22","240,82","143,96K","-0,38%"
"25.05.2021","242,43","242,44","243,09","240,89","264,49K","-0,03%"
"24.05.2021","242,50","241,96","243,47","241,37","243,52K","0,21%"
"21.05.2021","242,00","239,00","242,67","238,61","652,23K","1,68%"
"20.05.2021","238,00","237,01","238,99","236,56","247,27K","0,21%"
"19.05.2021","237,50","234,61","237,50","232,51","346,16K","0,70%"
"18.05.2021","235,85","237,34","238,40","235,79","381,07K","-1,28%"
"17.05.2021","238,90","239,92","240,86","236,30","492,93K","-0,04%"
"14.05.2021","239,00","237,51","239,60","236,45","669,01K","1,12%"
"13.05.2021","236,35","234,00","239,00","233,58","251,96K","0,57%"
"12.05.2021","235,00","233,97","235,00","232,42","460,23K","-0,38%"
"11.05.2021","235,90","237,15","237,15","233,00","400,22K","-0,67%"
"10.05.2021","237,50","240,29","240,35","237,50","292,23K","-1,19%"
"07.05.2021","240,36","240,53","240,53","238,71","599,21K","-0,35%"
"06.05.2021","241,20","241,29","241,29","237,13","715,60K","-0,54%"
"05.05.2021","242,50","245,06","245,26","242,05","651,31K","-1,50%"
"04.05.2021","246,20","247,40","247,40","243,20","331,50K","-0,48%"
"03.05.2021","247,39","247,56","248,45","244,58","210,15K","0,16%"
"30.04.2021","247,00","243,54","247,00","243,32","309,69K","1,02%"
"29.04.2021","244,50","244,94","245,89","243,00","214,85K","0,20%"
"28.04.2021","244,00","246,70","246,70","243,25","529,31K","-1,81%"
"27.04.2021","248,50","247,50","248,99","245,51","219,11K","0,40%"
"26.04.2021","247,50","247,51","249,35","247,06","358,30K","-0,60%"
"23.04.2021","249,00","244,99","250,00","244,89","340,24K","1,52%"
"22.04.2021","245,28","249,49","249,49","244,20","518,34K","-1,81%"
"20.04.2021","249,80","249,90","249,90","246,59","785,95K","-0,74%"
"19.04.2021","251,65","253,99","254,52","249,35","438,72K","-1,31%"
"16.04.2021","255,00","256,70","257,49","252,28","284,78K","0,02%"
"15.04.2021","254,95","253,00","254,95","252,12","305,85K","0,26%"
"14.04.2021","254,29","257,20","257,56","253,40","433,98K","-1,13%"
"13.04.2021","257,20","255,89","257,20","253,70","225,38K","0,26%"
"12.04.2021","256,54","253,43","256,80","251,72","230,18K","1,00%"
"09.04.2021","254,00","250,00","254,00","249,65","248,77K","2,21%"
"08.04.2021","248,50","248,28","248,60","245,85","292,64K","-0,70%"
"07.04.2021","250,25","247,00","250,25","245,49","282,31K","0,91%"
"06.04.2021","247,99","251,50","251,50","246,52","290,28K","-1,40%"
"05.04.2021","251,50","249,15","251,50","247,36","393,02K","0,84%"
"01.04.2021","249,40","245,40","249,40","245,08","244,15K","2,55%"
"31.03.2021","243,20","247,50","248,00","242,90","302,12K","-1,74%"
"30.03.2021","247,50","247,87","248,72","245,32","420,09K","-0,15%"
"29.03.2021","247,87","247,58","249,50","246,42","251,66K","0,43%"
"26.03.2021","246,80","241,50","246,80","241,50","339,42K","2,53%"
"25.03.2021","240,71","238,29","240,71","235,56","256,26K","1,57%"
"24.03.2021","237,00","235,00","238,41","234,58","348,70K","1,03%"
"23.03.2021","234,58","235,84","235,84","233,06","191,41K","-0,71%"
"22.03.2021","236,25","233,99","236,87","233,99","269,41K","1,74%"
"19.03.2021","232,20","235,93","235,93","231,30","1,08M","-1,98%"
"18.03.2021","236,90","239,67","239,67","236,02","388,70K","-2,07%"
"17.03.2021","241,90","242,41","242,86","240,00","174,17K","-0,02%"
"16.03.2021","241,95","241,45","242,00","239,64","326,06K","-0,02%"
"15.03.2021","242,00","239,05","242,30","239,05","257,64K","2,02%"
"12.03.2021","237,20","237,00","237,76","236,14","197,42K","0,11%"
"11.03.2021","236,95","238,80","239,10","236,42","435,98K","-1,55%"
"10.03.2021","240,68","243,26","243,92","238,93","382,67K","-1,46%"
"09.03.2021","244,25","244,12","248,79","243,51","480,04K","0,41%"
"08.03.2021","243,25","237,75","243,25","237,75","546,60K","2,64%"
"05.03.2021","237,00","232,50","238,16","230,21","432,34K","2,46%"
"04.03.2021","231,30","232,11","233,20","228,00","329,70K","-0,34%"
"03.03.2021","232,10","240,01","241,96","231,15","611,70K","-2,64%"
"02.03.2021","238,40","239,40","241,63","237,78","422,95K","-0,17%"
"01.03.2021","238,80","233,31","238,80","232,73","351,21K","3,38%"
"26.02.2021","231,00","229,20","233,45","228,01","266,51K","0,79%"
"25.02.2021","229,20","230,80","232,78","228,30","230,76K","-0,67%"
"24.02.2021","230,75","228,01","231,00","227,16","181,10K","1,21%"
"23.02.2021","228,00","228,22","229,38","224,00","170,38K","-0,65%"
"22.02.2021","229,50","229,61","232,60","229,24","370,01K","0,66%"
"19.02.2021","228,00","230,28","231,09","228,00","146,02K","-0,78%"
"18.02.2021","229,80","229,07","231,23","228,53","101,52K","-0,09%"
"17.02.2021","230,00","229,40","230,80","227,96","177,78K","0,26%"
"12.02.2021","229,40","228,99","229,40","227,37","74,87K","0,40%"
"11.02.2021","228,48","226,99","228,99","226,55","182,38K","0,08%"
"10.02.2021","228,30","230,00","230,46","226,14","186,41K","0,13%"
"09.02.2021","228,00","227,52","230,46","226,35","214,48K","0,44%"
"08.02.2021","227,00","227,00","228,68","223,91","144,97K","0,22%"
"05.02.2021","226,50","228,30","229,56","224,56","253,95K","-0,48%"
"04.02.2021","227,60","223,00","228,00","222,65","134,07K","2,06%"
"03.02.2021","223,00","222,22","223,70","221,00","217,59K","0,35%"
"02.02.2021","222,23","221,51","223,85","221,12","184,78K","0,42%"
"01.02.2021","221,30","220,38","223,48","220,38","209,18K","0,59%"
"29.01.2021","220,00","223,18","224,47","219,20","130,96K","-1,57%"
"28.01.2021","223,50","220,01","225,35","220,01","102,03K","2,52%"
"27.01.2021","218,00","221,97","223,22","216,00","263,41K","-2,54%"
